"","Variable","PC1","PC2","PC3","PC4","PC5","PC6","Site"
"78","Phosphate",-0.167184977012587,0.108622378296931,-0.917232565413069,0.0832441807962781,0.322969177978395,-0.0877274174913153,"JIC1"
"79","Tidal Height",0.424266165976115,-0.428059098704275,0.0985871519876049,-0.582245192364715,0.00629735142842485,0.536651731778206,"JIC2"
"80","Chlorophyll",-0.511869169726215,0.125763849582328,-0.118089982669496,-0.087840815176799,-0.712140825500621,0.439735828719377,"JIC2"
"81","Phycocyanin",0.38328896456247,0.484081287428649,-0.197114434686472,-0.512398915982844,-0.361106737203671,-0.43237720995678,"JIC2"
"82","Temperature",-0.391545974192561,-0.458952734267487,0.462102746238342,-0.353326776016644,-0.155573842207831,-0.5229456555813,"JIC2"
"83","Nitrate",0.241933882168098,-0.594112258276349,-0.55400769846265,0.295370518621344,-0.370694876302553,-0.23857002469162,"JIC2"
"84","Phosphate",-0.446360269164971,-0.0548377752130122,-0.645769115905541,-0.422656271852082,0.448106907634917,-0.0360479216767087,"JIC2"
"85","Tidal Height",0.647860232045806,-0.0187668731459121,0.214864446117014,-0.0558122783001393,-0.15964795628936,0.710743071471179,"SC1"
"86","Chlorophyll",-0.561234268178585,0.183089886599323,0.297034412309593,-0.427752043882952,0.387168168226044,0.479993485390621,"SC1"
"87","Phycocyanin",0.159117954439975,-0.396994102197558,0.650596776614174,0.294914443799577,0.510779988920598,-0.214313479303331,"SC1"
"88","Temperature",-0.240690792120701,0.379456702502196,0.600769492550657,0.292144528609289,-0.589909171918773,-0.0617682250405471,"SC1"
"89","Nitrate",0.414779272580102,0.493013622861514,0.211512458899605,-0.570723572206005,0.127276479519038,-0.445234212893376,"SC1"
"90","Phosphate",0.100003950705307,0.649208563804306,-0.191484094662297,0.562018529868334,0.446682223880402,0.128341166317494,"SC1"
"91","Tidal Height",0.465415780996305,0.24396366449401,-0.159240285095167,0.605303774544777,-0.561971573946278,0.127701618655569,"SC2"
"92","Chlorophyll",-0.526875076560376,-0.0558708388681095,-0.392086919137185,-0.264860736713844,-0.529382414507238,0.463844801914465,"SC2"
"93","Phycocyanin",0.407253235326996,-0.382440474304307,-0.466393457464134,-0.407527341279169,-0.247555454837951,-0.492949278987351,"SC2"
"94","Temperature",-0.467471231885896,0.513092393957131,-0.165406877634916,0.134732318074395,-0.126003716944596,-0.675882884260237,"SC2"
"95","Nitrate",0.247983354619591,0.548727911947639,-0.572196647656542,-0.200978903615736,0.448646370211367,0.261374914039957,"SC2"
"96","Phosphate",0.244766235427785,0.476165241589145,0.498617171305456,-0.582093016232709,-0.35425697435494,0.0201689303186021,"SC2"
"97","Tidal Height",0.541652761832632,-0.156092780306508,0.45268513565237,-0.207621438632812,-0.425655678822144,0.503024928608078,"SC3"
"98","Chlorophyll",-0.557093948894165,0.0909289395048311,0.059309966619282,0.512650935474228,-0.566359733170284,0.307060676294335,"SC3"
"99","Phycocyanin",0.167377438292949,0.597203225998299,0.533560903641379,0.169134697584247,-0.14690871949845,-0.529582046827043,"SC3"
"100","Temperature",-0.388279008869379,-0.467355854032299,0.251903691274796,-0.486813955631484,-0.353217942864765,-0.453444268610925,"SC3"
"101","Nitrate",-0.466174963620976,0.298543468353173,0.450325973756861,-0.372908693430362,0.434765796481134,0.403332402282235,"SC3"
"102","Phosphate",-0.0127955234152785,0.550604742042178,-0.490532675370843,-0.537984283801128,-0.403345399023688,0.0627199050073181,"SC3"
"103","Tidal Height",0.50506701941354,-0.371810498089393,0.140513127121361,-0.122116186664174,0.458872053058345,0.601202458739514,"SR1"
"104","Chlorophyll",0.210663892113241,-0.639794416997905,0.386524865647079,0.260697720158426,-0.0508104316789398,-0.571259446758929,"SR1"
"105","Phycocyanin",0.491210794585321,0.184781493507458,0.294669792865577,-0.518448406379516,-0.607344754796642,-0.00900371346248752,"SR1"
"106","Temperature",-0.422737596178397,-0.501780764359749,0.00151472747478557,0.0767075983538026,-0.566614132804172,0.492515039118503,"SR1"
"107","Nitrate",-0.450629566491042,-0.2451430293108,0.131433337560873,-0.776013190762824,0.289859175544826,-0.182615313915901,"SR1"
"108","Phosphate",-0.278326973764108,0.326185249275395,0.852494742443569,0.20063663099801,0.113653731283558,0.190309654520277,"SR1"
"109","Tidal Height",-0.184437561185849,0.491960250123715,-0.573155380585144,0.470685788775987,0.379226890770398,0.173472365491651,"WC1"
"110","Chlorophyll",0.477487887335948,0.466337428859797,-0.0364194855684935,0.254564093445377,-0.541835496116788,-0.44138391275512,"WC1"
"111","Phycocyanin",-0.544920274414734,0.0520680775912139,0.176415044735244,0.308569234555365,-0.636740655061391,0.410578747010478,"WC1"
"112","Temperature",0.619642591494133,-0.169250077153866,-0.24898833875902,-0.011884123001975,-0.163607133244168,0.70604089890315,"WC1"
"113","Nitrate",-0.156673794698566,-0.542330092747836,-0.70290023106153,0.00689786070626545,-0.30167380193423,-0.310174135724993,"WC1"
"114","Phosphate",0.180406149740595,-0.463708865477181,0.288063074870689,0.786287622436426,0.198464661425287,-0.108678089228245,"WC1"
"115","Tidal Height",-0.368551087743346,0.356108642626681,-0.543795117940673,0.633128626682741,-0.200033763277276,0.0278968761266455,"WR1"
"116","Chlorophyll",0.466430594601746,0.3196350156974,0.346652815552429,0.284695980037044,-0.241154448883257,0.648768458977252,"WR1"
"117","Phycocyanin",-0.339737699275344,-0.360156102482365,0.633787396779695,0.572948575178555,0.0546147064868063,-0.148076254866362,"WR1"
"118","Temperature",0.354761606076378,0.583977591575625,0.215262089378087,0.152207440641291,0.191425467155703,-0.653426196142969,"WR1"
"119","Nitrate",-0.449205693615564,0.349009149459279,0.328849955074646,-0.375072986089005,-0.646161420534582,-0.100300743683599,"WR1"
"120","Phosphate",-0.451164426247485,0.422457642092862,0.167189027094079,-0.161181330637707,0.666843286166439,0.345497671039987,"WR1"
